127.0.0.1 - - [23/May/2020:09:13:12 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:16 +0530] "GET /RestWebApp/index.jsp HTTP/1.1" 200 10283
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/style.css HTTP/1.1" 404 152
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/logo4.png HTTP/1.1" 404 162
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/c2.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/c1.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/c5.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/c3.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/gifs/road-trip/animat-road-trip-color.gif HTTP/1.1" 404 184
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/gifs/day-night/animat-day-night.gif HTTP/1.1" 404 178
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/gifs/compass/animat-compass-color.gif HTTP/1.1" 404 180
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/gifs/swiss-knife/animat-swiss-knife-color.gif HTTP/1.1" 404 188
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/t3.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/t5.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/t1.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/t2.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:17 +0530] "GET /RestWebApp/resources/n1.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:27 +0530] "GET /RestWebApp/index.jsp HTTP/1.1" 200 10283
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:28 +0530] "GET /RestWebApp/style.css HTTP/1.1" 404 152
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/resources/c1.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/resources/logo4.png HTTP/1.1" 404 162
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/resources/c3.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/resources/c2.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/resources/c5.jpg HTTP/1.1" 404 159
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/gifs/compass/animat-compass-color.gif HTTP/1.1" 404 180
0:0:0:0:0:0:0:1 - - [23/May/2020:09:13:29 +0530] "GET /RestWebApp/gifs/day-night/animat-day-night.gif HTTP/1.1" 404 178
